gene_name,P,logFC,significant
COL3A1,1.0519772987822777e-09,2.307105738563405,True
IL7R,1.5586064748126283e-13,-1.8729605680907468,True
NPNT,2.85805865089258e-26,-1.680287536305559,True
SLC50A1,7.719789841976246e-24,1.8688244496371456,True
CD52,1.372023310916617e-11,-1.97055408884565,True
CLIC3,1.8437677766991477e-29,-1.648157611740732,True
DUS1L,5.7865301781827474e-27,1.585490317391367,True
RAC3,5.79537793635424e-12,1.9488720172719134,True
S1PR1,6.09293041829267e-22,-2.423054545400647,True
FPR1,2.467026234034022e-09,-1.9291973218521998,True
GIMAP8,4.673536268781191e-20,-1.9856947589752914,True
FUT3,7.463774549802685e-18,2.1364696305060167,True
ZNF692,1.365177428526041e-34,2.2209199941473954,True
ADCK5,6.08992780281761e-21,1.8959606809866238,True
MMRN2,2.2988993900046484e-19,-1.735616044810278,True
OLR1,3.316428955477458e-16,-2.0716305039189975,True
PPP1R14B,6.864389145405663e-24,2.2397734112839993,True
HEG1,4.028090745141173e-21,-2.0787917175614967,True
SLCO2A1,2.140062133916212e-13,-1.7255084607315603,True
SEZ6L2,4.303864479745663e-13,1.9018270807686122,True
MARCKSL1,1.2749262729058615e-24,2.004565871316194,True
LPL,1.3455288920617773e-23,-1.9334603736778824,True
A2M,1.279879661153266e-21,-1.8027223118384141,True
CLEC14A,3.1683779208100647e-18,-1.8444988331967282,True
BASP1,2.1848874670729754e-05,1.7857609379525383,True
CAVIN1,3.1551876058184305e-27,-1.848987540282565,True
CRACR2B,9.945148058258382e-16,1.698384579339208,True
THBD,4.136136065663066e-16,-2.2845229899855637,True
OPLAH,1.191282606733657e-15,1.587422930291688,True
GIMAP7,3.867628794405826e-20,-1.5844176048867198,True
CDH5,3.8879776000398306e-22,-2.090123623803403,True
MYADM,1.1389946121814119e-12,-1.703344566747421,True
RCC1,1.0506324848429008e-23,1.6587238030193827,True
SCRIB,2.8083543003573177e-21,1.521502553496836,True
NQO1,8.704357911041469e-11,2.9142877193792485,True
PHLDA2,1.1400417852131055e-14,2.4409978548511027,True
IDH2,0.0005158129604049118,1.6936314653704019,True
KPNA2,5.329750444458814e-15,1.6195698872587034,True
TSKU,1.803098630173688e-11,1.6199606876410821,True
PYCR1,9.117372310790198e-22,3.4383285813934537,True
MX2,3.7426685485556635e-11,1.5541030208868873,True
SFXN4,4.23837947273738e-25,1.5328316985399728,True
CLDN5,4.393962468629837e-11,-2.0677192578223305,True
PKP3,3.5116322530197083e-23,1.8350009329247343,True
SEMA4B,2.546325922203423e-10,1.8184215788591587,True
ANO9,1.3022293461067118e-19,2.299002100385953,True
SFTPA2,5.741552997907195e-20,-2.2899624650341583,True
METTL7A,6.3270317093382014e-27,-1.7108468048597467,True
IRF7,1.588895592992364e-15,1.8343994047356371,True
SLC52A2,2.306392266879188e-22,1.6805137269029644,True
ISG15,1.453927981700755e-07,2.0789222676549466,True
H1-2,1.5261082367319588e-07,1.8526061540257628,True
EIF4EBP1,4.756191966925222e-10,1.734434781741091,True
NOXA1,1.8959210147571204e-16,2.1550870930518515,True
PRELP,2.9411093923886746e-14,-1.5033734249722102,True
PLAC9,4.42330626395545e-14,-1.9200817195589877,True
JPT1,1.110745611549255e-19,1.8112982397107618,True
AKR1C3,0.0006518419862051498,1.923851335924812,True
HSH2D,6.3418110958649e-26,1.714532619967591,True
C5AR1,1.0276973865592843e-14,-1.636301177304723,True
CFD,9.301789260011255e-17,-1.9058612295726942,True
H2BC12,7.947689105312267e-10,1.550558963175337,True
ERO1A,3.931668215695204e-13,1.870864687224375,True
TXNRD1,0.0005149023617771247,1.7646833118662848,True
CAPN8,1.2814987635419718e-11,2.0517169353141345,True
COL5A2,2.824822488869669e-10,1.8095802885910985,True
AGER,1.816183338151781e-25,-3.7517393444341285,True
CCHCR1,6.111039929406873e-20,1.5055634771871542,True
MROH6,9.915354418454421e-17,2.613608345111218,True
GPX3,3.9369562631017046e-19,-2.0905273227517522,True
EMP2,4.3527829883066224e-30,-2.4521414262564805,True
AP1G2,7.50763441283013e-16,1.55369037852899,True
CCNL2,6.027430992022365e-24,1.8970766131547319,True
EFNA4,9.343284699094909e-24,2.094066930143377,True
C4orf48,1.60685996911157e-11,1.756851068187466,True
SELENOP,5.178672571040817e-26,-1.669353892862105,True
SLC22A31,3.146807739885568e-11,1.5345072194471496,True
BOP1,4.712371041181557e-19,1.9923068146154364,True
PECAM1,4.3035932124775454e-33,-2.1384300692115015,True
