Gene Symbol,logFC,significant
TMEM40,2.2963924503476614,True
TMSB15A,-2.521087500974518,True
TNFRSF10A,1.6398876111120853,True
TNFRSF10C,2.645685180363661,True
TNFRSF10D,1.982264421134434,True
TNFRSF12A,1.5542591820644487,True
TNS2,-1.6226262188176734,True
TP53,2.4563285225732936,True
TP53I3,3.3375323679109012,True
TP53INP1,2.5582692731718355,True
TRHDE,1.6528923921676082,True
TRIAP1,2.1887428396087767,True
TSC22D3,-1.70613544683123,True
WDR63,1.7089027214347394,True
WFDC3,2.002592425104699,True
WNT9A,1.6809628055802932,True
ZBED2,3.3515342277064892,True
ZMAT3,2.8792873022286782,True
ZNF704,-2.203458800189505,True
